Deg,"Num
Vectors",Mu,"Var
(Exp(X^2))",Est. Sigma,"Norm.
var",Mu4,Mu4-3,Time
256,100000,0,4.07915003906250017707,2.01969058003014412250,1.000398587554236,3.00322407177407990631,0.00322407177407990631,8.049240956s
512,100000,0,6.53291021484375011852,2.55595583194306197328,1.0000601701117264,3.00025757859415742601,0.00025757859415742601,18.097263513s
1024,100000,0,6.74977712402343765774,2.59803331849755858585,0.9999551988968663,2.99956847287321926032,-0.00043152712678073968,39.408532473s
